CompoundID,ChemOntID,ClassifiedResults
71300633,NotAvailable,"predicted_chebi_terms: [""metallotetrapyrrole (CHEBI:33909)"", ""nucleobase-containing molecular entity (CHEBI:61120)"", ""phospho sugar (CHEBI:33447)"", ""N-glycosyl compound (CHEBI:21731)"", ""monosaccharide derivative (CHEBI:63367)"", ""carbohydrate phosphate (CHEBI:26816)"", ""benzimidazoles (CHEBI:22715)"", ""phosphoethanolamine (CHEBI:36711)"", ""dialkyl phosphate (CHEBI:16648)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""fatty amide (CHEBI:29348)"", ""imidazoles (CHEBI:24780)"", ""oxolanes (CHEBI:26912)"", ""organic aromatic compound (CHEBI:33659)"", ""pyrroline (CHEBI:23763)"", ""pyrrolidines (CHEBI:38260)"", ""phosphonic acids (CHEBI:26069)"", ""carboxamide (CHEBI:37622)"", ""secondary alcohol (CHEBI:35681)"", ""ketimine (CHEBI:33272)"", ""oxacycle (CHEBI:38104)"", ""transition element molecular entity (CHEBI:33497)"", ""cyanide salt (CHEBI:36572)"", ""dipolar compound (CHEBI:51151)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""primary alcohol (CHEBI:15734)"", ""organic molecule (CHEBI:72695)"", ""cyanides (CHEBI:23424)"", ""carbonyl compound (CHEBI:36586)"", ""organophosphorus compound (CHEBI:25710)"", ""zwitterion (CHEBI:27369)"", ""organic molecular entity (CHEBI:50860)"", ""organic oxide (CHEBI:25701)"", ""organic salt (CHEBI:24868)"", ""cobalt corrinoid (CHEBI:33906)"", ""chemical entity (CHEBI:24431)"", ""organic heterocyclic compound (CHEBI:24532)"", ""tetrapyrrole (CHEBI:26932)"", ""oxygen molecular entity (CHEBI:25806)"", ""organooxygen compound (CHEBI:36963)"", ""carbohydrates and carbohydrate derivatives (CHEBI:78616)"", ""monosaccharide (CHEBI:35381)"", ""pentose (CHEBI:25901)"", ""glycoside (CHEBI:24400)"", ""organic acid (CHEBI:64709)"", ""phosphoric acid derivative (CHEBI:26079)"", ""phosphoric ester (CHEBI:37734)"", ""alkyl phosphate (CHEBI:22324)"", ""lipid (CHEBI:18059)"", ""azole (CHEBI:68452)"", ""carboxylic acid (CHEBI:33575)"", ""amide (CHEBI:32988)"", ""polyol (CHEBI:26191)"", ""organic hydroxy compound (CHEBI:33822)"", ""alcohol (CHEBI:30879)"", ""nitrogen molecular entity (CHEBI:51143)"", ""organonitrogen compound (CHEBI:35352)"", ""imine (CHEBI:24783)"", ""corrinoid (CHEBI:33913)""]"
71300633,NotAvailable,"predicted_lipidmaps_terms: [""Fatty amides (FA08)"", ""Fatty Acyls (FA)""]"
71300633,NotAvailable,Classification_version: 2.1
71300746,CHEMONTID:0000000,Kingdom: Organic compounds
71300746,CHEMONTID:0002448,Superclass: Benzenoids
71300746,CHEMONTID:0002279,Class: Benzene and substituted derivatives
71300746,CHEMONTID:0000369,Subclass: Diphenylmethanes
71300746,CHEMONTID:0000369,Direct_parent: Diphenylmethanes
71300746,CHEMONTID:0002542,alternative_parents: Benzylethers
71300746,CHEMONTID:0000033,alternative_parents: Benzyl alcohols
71300746,CHEMONTID:0000252,alternative_parents: Quinuclidines
71300746,CHEMONTID:0002564,alternative_parents: Dichlorobenzenes
71300746,CHEMONTID:0004646,alternative_parents: 1-hydroxy-2-unsubstituted benzenoids
71300746,CHEMONTID:0003899,alternative_parents: Aralkylamines
71300746,CHEMONTID:0001030,alternative_parents: Aryl chlorides
71300746,CHEMONTID:0000195,alternative_parents: Piperidines
71300746,CHEMONTID:0004225,alternative_parents: Tetraalkylammonium salts
71300746,CHEMONTID:0001670,alternative_parents: Tertiary alcohols
71300746,CHEMONTID:0001661,alternative_parents: Secondary alcohols
71300746,CHEMONTID:0001897,"alternative_parents: 1,2-aminoalcohols"
71300746,CHEMONTID:0002228,alternative_parents: Dialkylamines
71300746,CHEMONTID:0001167,alternative_parents: Dialkyl ethers
71300746,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
71300746,CHEMONTID:0003930,alternative_parents: Organic bromide salts
71300746,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
71300746,CHEMONTID:0000286,alternative_parents: Primary alcohols
71300746,CHEMONTID:0003073,alternative_parents: Aromatic alcohols
71300746,CHEMONTID:0003610,alternative_parents: Organic zwitterions
71300746,CHEMONTID:0001516,alternative_parents: Organochlorides
71300746,NotAvailable,"Substituents: [""Diphenylmethane"", ""Benzylether"", ""Quinuclidine"", ""1,3-dichlorobenzene"", ""Benzyl alcohol"", ""Phenol"", ""Halobenzene"", ""1-hydroxy-2-unsubstituted benzenoid"", ""Chlorobenzene"", ""Aralkylamine"", ""Aryl chloride"", ""Piperidine"", ""Aryl halide"", ""Quaternary ammonium salt"", ""Tertiary alcohol"", ""Tetraalkylammonium salt"", ""1,2-aminoalcohol"", ""Secondary alcohol"", ""Azacycle"", ""Organoheterocyclic compound"", ""Dialkyl ether"", ""Secondary aliphatic amine"", ""Ether"", ""Secondary amine"", ""Aromatic alcohol"", ""Organic oxygen compound"", ""Organic zwitterion"", ""Organic salt"", ""Amine"", ""Alcohol"", ""Organic bromide salt"", ""Organic nitrogen compound"", ""Organohalogen compound"", ""Organochloride"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Hydrocarbon derivative"", ""Primary alcohol"", ""Aromatic heteropolycyclic compound""]"
71300746,NotAvailable,External_descriptors: []
